tahun;status;kdurus;nmurus;kdskpd;nmskpd;kdsubunit;nmsubunit;kdbidurus;nmbidurus;kdprog;nmprog;kdgiat;nmgiat;kdsubgiat;nmsubgiat;kdsdana;nmsdana;kdrek;nmrek;jml;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0007;Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00024;Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor;1140900;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0007;Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00025;Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover;1163250;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0007;Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00027;Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos;800000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0007;Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00029;Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer;2055600;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0007;Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.04.001.00001;Belanja Perjalanan Dinas Biasa;840000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;1.01.01.2.03.0005;Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00024;Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor;2731000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;1.01.01.2.03.0005;Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00025;Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover;1738350;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;1.01.01.2.03.0005;Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00029;Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer;1590200;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.03;Administrasi Barang Milik Daerah pada Perangkat Daerah;1.01.01.2.03.0005;Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.04.001.00003;Belanja Perjalanan Dinas Dalam Kota;2940000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.05;Administrasi Kepegawaian Perangkat Daerah;1.01.01.2.05.0003;Pendataan dan Pengolahan Administrasi Kepegawaian;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00024;Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor;544900;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.05;Administrasi Kepegawaian Perangkat Daerah;1.01.01.2.05.0003;Pendataan dan Pengolahan Administrasi Kepegawaian;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00025;Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover;305600;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.05;Administrasi Kepegawaian Perangkat Daerah;1.01.01.2.05.0003;Pendataan dan Pengolahan Administrasi Kepegawaian;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00029;Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer;540000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.05;Administrasi Kepegawaian Perangkat Daerah;1.01.01.2.05.0003;Pendataan dan Pengolahan Administrasi Kepegawaian;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00052;Belanja Makanan dan Minuman Rapat;657200;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.05;Administrasi Kepegawaian Perangkat Daerah;1.01.01.2.05.0003;Pendataan dan Pengolahan Administrasi Kepegawaian;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.04.001.00003;Belanja Perjalanan Dinas Dalam Kota;2940000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.06;Administrasi Umum Perangkat Daerah;1.01.01.2.06.0001;"Penyediaan Komponen Instalasi

Listrik/Penerangan Bangunan Kantor";1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00031;Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Listrik;9999700;
